,beta,delta,val
267,0.87,0.95,12051.245216721514
268,0.87,0.952,18924.9872054961
269,0.87,0.954,26858.494593323885
270,0.87,0.956,35428.55468898742
271,0.87,0.958,44200.08482242172
272,0.87,0.96,54812.726142565545
273,0.88,0.92,2065994.4566510667
274,0.88,0.922,1710659.6975975167
275,0.88,0.924,1357003.8019047177
276,0.88,0.926,1054796.7342633486
277,0.88,0.928,761562.5956211854
278,0.88,0.93,525869.623108955
279,0.88,0.932,342228.44395641924
280,0.88,0.934,208186.25948557438
281,0.88,0.936,116555.0755769333
282,0.88,0.9380000000000001,60850.22163378062
283,0.88,0.94,28124.305116680087
284,0.88,0.942,10752.652710893279
285,0.88,0.944,4178.862975562708
286,0.88,0.946,4299.410831785493
287,0.88,0.948,8434.844020786368
288,0.88,0.95,14281.583375454993
289,0.88,0.952,21458.684247664387
290,0.88,0.954,29746.198347729005
291,0.88,0.956,38328.346326740866
292,0.88,0.958,47321.33841651902
293,0.88,0.96,58278.64942730998
294,0.89,0.92,1983985.9479376161
295,0.89,0.922,1631842.151786277
296,0.89,0.924,1284319.2351529875
297,0.89,0.926,989729.1993802607
298,0.89,0.928,705089.5644068841
299,0.89,0.93,482377.52541070606
300,0.89,0.932,307606.94433047896
301,0.89,0.934,183693.56849650532
302,0.89,0.936,101144.60203503331
303,0.89,0.9380000000000001,51024.071239614204
304,0.89,0.94,22452.813860068483
305,0.89,0.942,8339.03570683248
306,0.89,0.944,3987.0000334943848
307,0.89,0.946,5451.6893953776425
308,0.89,0.948,10256.340958150035
309,0.89,0.95,16508.178178549766
310,0.89,0.952,24290.984076112843
311,0.89,0.954,32605.027755262232
312,0.89,0.956,41287.66665202819
313,0.89,0.958,50865.31464599585
314,0.89,0.96,62226.73927695968
315,0.9,0.92,1903044.9964640439
316,0.9,0.922,1557808.6852987814
317,0.9,0.924,1216174.3857719502
318,0.9,0.926,924324.0969723659
319,0.9,0.928,651787.8616029036
320,0.9,0.93,443436.53709050344
321,0.9,0.932,276838.98166987195
322,0.9,0.934,160889.6134548181
323,0.9,0.936,86711.80411535405
324,0.9,0.9380000000000001,42334.278424112
325,0.9,0.94,17987.54341026069
326,0.9,0.942,6459.0841980445575
327,0.9,0.944,4188.9651018335835
328,0.9,0.946,6813.577927948221
329,0.9,0.948,12278.465910539042
330,0.9,0.95,19049.45858523113
331,0.9,0.952,26938.09797530797
332,0.9,0.954,35446.4092241583
333,0.9,0.956,44321.66980372134
334,0.9,0.958,54987.06528928733
335,0.9,0.96,66325.95924428877
336,0.91,0.92,1825587.8352938534
337,0.91,0.922,1480808.1039729917
338,0.91,0.924,1153711.6806673147
339,0.91,0.926,865395.7595687269
340,0.91,0.928,608098.656791692
341,0.91,0.93,404841.8942424423
342,0.91,0.932,248880.09631833553
343,0.91,0.934,142226.54245238757
344,0.91,0.936,74695.35348124847
345,0.91,0.9380000000000001,35118.12198877643
346,0.91,0.94,14361.248006676084
347,0.91,0.942,5480.619803051618
348,0.91,0.944,4649.171143799764
349,0.91,0.946,8507.722646379874
350,0.91,0.948,14443.543314046066
351,0.91,0.95,21677.135617459047
352,0.91,0.952,29769.187869698904
